Daily_demand,Demand,Diesel_engines,Fuel_oil_gas,Gas_turbine,Generation,Non_renewable_waste,Peak_Load,Renewable_waste,Solar_PV,date
-,691,663,664,1,691,14,36 (14h),14,0,"2019,08,27"
-,707,679,679,0,707,14,38 (14h),14,0,"2019,08,26"
-,593,565,565,0,593,14,30 (22h),14,0,"2019,08,25"
-,651,622,622,0,651,14,32 (22h),14,0,"2019,08,24"
-,712,685,685,0,712,13,37 (14h),13,0,"2019,08,23"
-,730,702,702,0,730,14,38 (14h),14,0,"2019,08,22"
-,749,720,720,0,749,15,39 (14h),15,0,"2019,08,21"
-,715,688,688,0,715,13,37 (14h),13,0,"2019,08,20"
-,729,704,704,0,729,12,38 (14h),12,0,"2019,08,19"
-,637,610,610,0,637,13,31 (22h),13,0,"2019,08,18"
-,666,637,637,0,666,15,33 (22h),15,0,"2019,08,17"
-,712,684,684,0,712,14,37 (14h),14,0,"2019,08,16"
-,623,595,595,0,623,14,31 (23h),14,0,"2019,08,15"
-,705,675,675,0,705,15,36 (14h),15,0,"2019,08,14"
-,654,623,623,0,654,15,33 (14h),15,0,"2019,08,13"
-,568,542,542,0,568,13,27 (23h),13,0,"2019,08,12"
-,638,613,613,0,638,12,30 (15h),12,0,"2019,08,11"
-,706,690,690,0,706,8,34 (22h),8,0,"2019,08,10"
-,734,734,734,0,734,0,39 (14h),0,0,"2019,08,09"
-,755,741,741,0,755,7,39 (14h),7,0,"2019,08,08"
-,736,713,713,0,736,11,37 (14h),11,0,"2019,08,07"
-,741,715,716,1,741,13,39 (14h),13,0,"2019,08,06"
-,732,707,707,0,732,12,39 (14h),12,0,"2019,08,05"
-,605,580,580,0,605,12,31 (23h),12,0,"2019,08,04"
-,665,639,639,0,665,13,33 (15h),13,0,"2019,08,03"
-,715,688,688,0,715,14,38 (14h),14,0,"2019,08,02"
-,696,668,668,0,696,14,36 (14h),14,0,"2019,08,01"
-,721,696,696,0,721,12,38 (14h),12,0,"2019,07,31"
-,702,676,676,0,702,13,37 (14h),13,0,"2019,07,30"
-,663,636,636,0,663,13,34 (14h),13,0,"2019,07,29"
-,547,521,521,0,547,13,28 (23h),13,0,"2019,07,28"
-,600,573,573,0,600,13,29 (15h),13,0,"2019,07,27"
-,686,661,661,0,686,12,36 (14h),12,0,"2019,07,26"
-,720,691,691,0,720,14,37 (14h),14,0,"2019,07,25"
-,714,690,690,0,714,12,37 (14h),12,0,"2019,07,24"
-,707,680,680,1,707,13,37 (14h),13,0,"2019,07,23"
-,707,681,681,0,707,13,37 (14h),13,0,"2019,07,22"
-,594,567,567,0,594,13,30 (23h),13,0,"2019,07,21"
-,637,608,608,0,637,14,31 (15h),14,0,"2019,07,20"
-,658,629,629,0,658,14,34 (14h),14,0,"2019,07,19"
-,649,618,618,0,649,15,34 (14h),15,0,"2019,07,18"
-,644,615,615,0,644,14,33 (14h),14,0,"2019,07,17"
-,676,648,648,0,676,14,35 (14h),14,0,"2019,07,16"
-,675,648,648,0,675,13,35 (14h),13,0,"2019,07,15"
-,565,538,538,0,565,14,28 (23h),14,0,"2019,07,14"
-,601,575,575,0,601,13,30 (15h),13,0,"2019,07,13"
-,651,621,621,0,651,15,34 (14h),15,0,"2019,07,12"
-,657,627,627,0,657,15,35 (14h),15,0,"2019,07,11"
-,630,598,598,0,630,16,33 (14h),16,0,"2019,07,10"
-,612,583,583,0,612,14,32 (14h),14,0,"2019,07,09"
-,602,575,575,0,602,14,31 (14h),14,0,"2019,07,08"
